dept4dig,course#,name,instructor,xlisted_w,ORCdescription,prereqs,Alldistribs,coreqs
GERM,29,A Cultural Studies Approach to Contemporary Germany and Berlin,Ostrau  ,,"Introduction to contemporary German culture, identity and everyday life through close analysis of literary, visual (including filmic), architectural, political and other texts. Assignments develop skills in the analysis of visual material, of the construction of identity, and of the expression of sophisticated ideas in written and spoken German. Carries major or minor credit.",Acceptance into the Dartmouth Foreign Study Program.,ART; WCult:CI,
GERM,30,Studies in German History,"Gemünden, Ostrau    ",,"More than any other German city, Berlin encapsulates Germany's complex recent past. From the Brandenburg Gate to the Olympic Stadium and from the Wannsee to Alexanderplatz, every corner of the capital evokes memories of industrialization, Nazi rule, World War II, Cold War divisions, or Unification. This course addresses significant aspects of German history and cultural memory. In-depth studies of important developments will be complemented by visits to museums and historical sites.",Acceptance into the Dartmouth Foreign Study Program.,SOC; WCult:W,
GERM,31,Studies in German Theater,"Gemünden, Ostrau    ",,"Berlin is one of the culturally most vibrant cities in Europe. There are over a hundred theaters and several opera houses with performances that range from classical drama to vaudeville and from musicals to serious opera. Students will read plays and libretti, view stage productions and read, discuss, and write weekly essays about the plays. The repertory varies from year to year.",Acceptance into the Dartmouth Foreign Study Program.,LIT; WCult:W,
GERM,42.04,From the Typewriter to Virtual Reality: Modern Media Theory (in English),,COLT 049,"The media theorist Friedrich Kittler famously declared, “Media determine our situation.” But what is a medium, and how can we understand its impact? Through analysis of foundational media-theoretical writings from the 20th and 21st centuries, this seminar will explore the relationship between modern media and fundamental cultural practices, ranging from the acoustic (gramophone, radio), to the visual (photography, film, virtual realities), to the tactile (typewriter, e-reader, touch screen). Topics will include the relationship between media technologies, perception, and communication; the interplay of mass media and art; and changing notions of reality. The seminar will emphasize the “German tradition” of media studies with its focus on technology and material media and put it in dialog with international developments (McLuhan, Baudrillard, Virilio, Parikka).",,ART; WCult:W,
GERM,42.05,"Material Realities, Material Matters: A Brief History of Paper & Other Writing Surfaces (in English)","McGillen, P",COLT 40.05,"The age of paper is said to be over because so much data are digital now. Yet we are far from being a paperless society. Paper is still everywhere in our everyday lives (think money) and even in our language (“I have to write a term paper”). In this course, we will trace the media history of paper and other writing surfaces—from clay tablets, to papyrus, to Gutenberg’s letterpress, to the industrial age of newsprint, to the pdf—to find out how paper permeated modern culture and civilization as deeply as it did. Combining media-historical and literary readings, we will study the impact that paper had on literary and intellectual production. How might the choice of writing surface both enable and restrict the writer’s creative possibilities? Theoretical readings by McLuhan, Foucault, Kittler, and Johns; selected literary writings by de Pizane, Diderot and D’Alembert, Defoe, Lichtenberg, Dickens, George, and Sudjic. Parts of the course will be taught hands-on with print objects from Rauner Library.",,LIT; WCult:W,
GERM,42.06,"Freud:  Psychoanalysis, Jews, and Gender (in English)",Fuechtner,JWST 051 WGSS 67.01,"This course will examine how Freud’s own writings, his biography, and his biographers have \fshaped the perceptions of psychoanalysis as a specifically Jewish theory and practice.  Through \fa reading of Freud’s texts on gender, sexuality, and religion, we will trace the connects between psychoanalysis, Jewishness, and gender that have impacted theoretical discussion.  We will explore critique, including Horney, Reich, and Marcuse, and recent debate on the status of Freud in the U.S.",,SOC; WCult:CI,
GERM,42.07,Intercultural Communication (in English),Denzel,,"This interdisciplinary class introduces students to key topics of intercultural communication. Through role plays, experiential exercises, and analyses of case studies from the global industry and world politics students will learn about significant components of their own culture and other cultures. Drawing on concepts from linguistics, psychology, anthropology, sociology and business studies, we will problematize notions of an “essential” cultural identity, while analyzing international relations and common conceptions and misconceptions in a global context.",,INT or SOC; WCult:CI,
GERM,42.08,Mind Reading: Media and the Brain (in English),,,"How do we know what someone else is thinking or feeling? How do we conceptualize how our own minds operate? We will look at representations of the mind and brain in a range of media, studying literary texts that deal thematically with physiognomic or psychoanalytic thought; innovations in narrative form that allowed for more direct access to the psyche; visual and filmic representations of the mind and brain; and recent empirical studies of literature. In English.",,LIT; WCult:W,
GERM,42.09,The Power and Spirit of Music In German Literature (in English),,,"This course treats prominent examples of the historically close relationship between the proverbial “sister arts” of literature and music. It treats hymns, plays, poems, and prose fiction set to music in cantatas, songs, song-cycles, and operas, as well as in ballets and in film. It also treats prose fiction describing music, singers, musicians, and composers. Conducted in English.",,ART; WCult:W,
GERM,42.10,"Naughty Nuns, Rowdy Knights and Feisty Poets: The German Middle Ages (in English)",Ostrau,,"This course investigates instances of rebellion against worldly and spiritual powers in fictional and nonfictional texts of the German Middle ages.  Case studies include gender roles in the twelfth century correspondence of Hildegard of Bingen, the undermining of the court’s strict code of heroic behavior in chivalrous epics by thirteenth century courtly poets (Vogelweide, Straßburg) and the violation of sexual taboos and class borders in fourteenth century conduct literature. The course is taught in English.",,LIT; WCult:W,
GERM,42.11,Literature and Psychoanalysis: The Cultural Legacy of Sigmund Freud (in English),,COLT 66.02,"Those new to Freud might be surprised by the role of literature in his texts. Why, for instance, are Hamlet and Oedipus so important in articulating theories of the psyche? Why might a medical practitioner analyze novels in addition to analyzing patients? Our goals for this course are twofold: First, we will work to understand Freud’s texts on their own terms as we familiarize ourselves with psychoanalytic theories. Second, we will situate these works within a broader cultural context, reading them alongside literary texts that Freud explicitly addresses and alongside literary, filmic, and theoretical works that draw on psychoanalytic concepts. Our discussions of the cultural imprint of Freudian thought will encompass a variety of themes, from gender and sexuality to Jewishness to the clinical techniques central to psychoanalytic practice. We will grapple with the promises and limitations of Freud’s own literary “archive” and the cultural products that archive Freudian thought.",,LIT; WCult:W,
GERM,42.12,Fictions of Survival: Robinsonades and Adventure Stories (in English),,," 
\fThis seminar follows the traces of the Robinsonade and the adventure novel. Where do the roots of such adventures lie—adventures that are experienced and capable of being told as tales? When did it become possible to turn adventures into a business or entertainment? What is an adventure to begin with? Can it be described as a form? These questions themselves show just how wide a net we have to cast if we are to apprehend something of what constitutes adventures and adventurers. This question needs to be considered in the terms of literary, cultural, and media history. With regard to adventurers (both male and female), a highly interesting question to examine is whether they consciously expose themselves to danger in order to experience an adventure or whether the adventure is the inadvertent consequence of fate or accident. The character and significance of these questions changes as they approach the present, in which the pursuit of adventure is becoming ever more widespread and its documentation includes real-time transmission almost as a matter of course.
",,LIT; WCult:W,
GERM,42.13,Gender and Jewish-German Culture,Von der Lühe,JWST 53.01,"In this class we will investigate different texts and representations of female experiences by Jewish authors from the Weimar Republic to the end of the 20th century.  The intersection of gender with Jewish German culture became one of the most important topics in cultural and literary research during the last decades. We will read and discuss lyrical and political, essayistic and autobiographical texts written by authors under extremely different political and historical circumstances; and we also will discuss theoretical and methodological problems in the field of Jewish German history and culture. Taught in English translation. Students taking the class for major or minor credit in German Studies will have the option to enroll in an additional German-language discussion section.",,LIT; WCult:CI,
GERM,42.14,German-Jewish Exile Literature (in English),"McGillen, M",,"The rise of fascism in Europe resulted in the displacement of countless Central-European Jews, who sought refuge in France, Switzerland, Sweden, Istanbul, Palestine, and above all in the United States. This course explores how German-Jewish writers, artists, and intellectuals responded to the condition of exile during the period of National Socialism and its aftermath. These writers constituted what Erika and Klaus Mann called “The Other Germany” by carrying forward the avant-garde possibilities of Weimar culture and offering political resistance to the Nazi regime from outside of Germany. Yet they were also confronted with the challenges of exile, including homelessness, alienation, and the struggle to form communities, along with painful questions about their own German identity and their relationship to the German language.",,INT or LIT; WCult:CI,
GERM,43,"Migration, Mobility and the Movies:  German Film in Global Context",,FILM 42.18,European borders have become a popular setting in world cinema since the development of global tourism and the recently declared “international immigration crisis”.,,INT or ART; WCult:CI,
GERM,43.01,History & Theory of German Film:  Contemporary German Film (in English),,,"Recent German films such as The Lives of Others,  Downfall, Head On or Run Lola Run have enjoyed much international success at festivals and box offices and drawn attention to a new generation of German-languages filmmakers.  This class will explore contemporary German culture of the last twenty years through their lens.  We will discuss some of the main challenges that German society is facing today:  overcoming the divide between East and West integrating immigrant cultures, and coming to terms with the history of the Third Reich. In our analysis of popular mainstream movies as well as low–budget independent productions, we will also address how filmmakers today refer to their rich tradition of German cinema before reunification, e.g. the Expressionist cinema of the 1920s or the New German Cinema of the 1970s.  No German knowledge is required for this class – all films are available and subtitled in English.  By special arrangement, this course can also  count toward a German Studies major or minor.  (in English Translation) Open to all Classes. ",,ART,
GERM,43.05,"Of Golems, Vampires, and Robots: The Haunted Screen of Weimar Cinema (in English)",Gemünden,FILM 42.17,"Weimar Cinema prefigures the rise of the Third Reich, but it also reacts to the trauma of the lost War, and to the fear of changes brought on by modernity: secularization, industrialization, urbanization, the rise of the “new woman,” and changing forms of sexuality. In this course, we will meet the most famous of these uncanny cinematic creations and study them in the larger cultural and social context that marked the transition from the demise of the German Kaiser to the advent of the Führer.",,ART; WCult:W,
GERM,43.06,"Migration, Mobility and the Movies:  German Film in Global Context",,,European borders have become a popular setting in world cinema since the development of global tourism and the recently declared “international immigration crisis”.,,INT or ART; WCult:CI,
GERM,44.03,Souls Sold to the Devil:  The Faust Tradition (In English),,COLT 35.04,"Faust's famous story of selling his soul to the devil in return for knowledge, wealth, power, love, freedom, or youth has been told in many ways and in diverse media. This course concentrates on Marlowe's The Tragical History of the Life and Death of Doctor Faustus, on Goethe's Faust, and on Mann's Doctor Faustus. It also considers Fausts in French and Russian Literature and in New England as well as in art, music, and film. Students thus learn how historical, legendary, literary, and other Fausts reflect both hopes and fears of specific cultures at particular times while raising epistemological, ethical, and other issues inherent in the larger, limited modern human condition.",,LIT; WCult:W,
GERM,44.05,Where the Wild Things Are: The Culture of Environmentalism in Germany (in English),Komska,,"Long before it became a twenty-first century buzzword, “sustainability” (Nachhaltigkeit) was a term coined and propagated by nineteenth-century German pioneers of nature conservation. For inspiration they drew not on political thought or science, but on works of art, philosophy, and literature where nature—especially the forest—loomed large. This course will focus on culture as a primary vehicle for Germany’s ecological consciousness through the nineteenth century, the Third Reich, the Cold War, and the present. ",,LIT; WCult:CI,
GERM,44.06,German-Jewish History (in English),,JWST 34.03,"This course is an immersion in the interdisciplinary approach to the history, culture, religion, and philosophy of Jews in Berlin, Prussia, Germany, and Central Europe from the late 18th century to the present day that will include reading primary and secondary sources and visiting the actual sites where the historical events occurred.",,INT; WCult:CI,
GERM,44.07,Metropolis Berlin: Cultural and Political History in the Urban Landscape (in English),"McGillen, P",,"This interdisciplinary class explores the German capital as a cultural and political center from the eighteenth century to the present day through historical and sociological readings, literary excerpts, films, conversations with Berliners, and excursions. Built around five core modules, the class provides a panorama of key moments in the city’s history: City of Growth (tenement housing or Mietskasernen in the 1920s; the Bauhaus; contemporary architecture; migration); City of Intellectuals (Jewish salons and enlightenment culture in the eighteenth century; underground literature and music under conditions of GDR censorship; today’s literary scene); City of Film (Weimar film; East German genre cinema); City of Ruptures (Fascism; the Berlin Wall; reunification); and City of Sustainability (a cultural history of water supply; public transportation; parks; and gentrification). Students will not only learn how to “read” Berlin’s present-day characteristics in the context of modern Germany’s cultural, political, and social history, they will also develop a refined understanding of the historically contested and emotionally charged nature of the city’s urban landscape and analyze the conflicts that arise from the challenges of commemorating Germany’s fraught past. The course will be taught in English by the German Studies Faculty Program Director. It will include the option to complete additional assignments in German during the x-hour for German major/minor credit. The Friday excursions will be open to all students on the FSP. Students enrolled in this course will serve as tour guides for their FSP peers.",Accceptance into the Foreign Study Program.,SOC; WCult:W,
GERM,45,"The Burden of the Nazi Past:  World War, Genocide, Population Transfer, and Firebombing (in English)",,,"This course studies the main events of World War II and the different stages of processing the past in the post-1945 period. In an interdisciplinary fashion we take up selective controversies in order to understand the formation of post-war German identity, e.g., the Nuremberg, Frankfurt, and Eichmann trials, the Berlin Jewish Museum and Holocaust Memorial, Neonazism, and current efforts to remember German civilian casualities. Taught in English. By special arrangement, this course can count toward a German Studies major or minor. Open to all classes.",,LIT; WCult:CI,
GERM,46,The German Novel (in English translation),,,,,,
GERM,46.02,"Kafka and Brecht: Alienation, Satire, and Revolt (in English)",Mladek,," 
\fFranz Kafka (1883-1924), the most influential prose writer of the 20th century, and BertoltBrecht (1898-1956), probably the most influential dramatist, both examine the alienated and un-heroic modern individual in her/his unhappy relationship to hostile social environments: dysfunctional families, impenetrable bureaucracies, heartless capitalist economies. Both use experimental techniques in form and content to shake their audiences out of their complacent worldviews and lazy habits of thought and feeling; both are darkly, mordantly, hilariously funny. Conducted in English. By special arrangement, this course can also be used to count toward a German Studies major or minor. Open to all classes.
\f 
",,LIT; WCult:W,
GERM,46.03,8 Short Books That Will Change Your Life,Mladek,,"This course is for anyone who has ever been afraid of great literature, for anyone who has fallen in love with good books before, and for anyone who has used them to make a difference in someone's life. You will learn how to read, understand, and see the world differently. We will read short but revolutionary books from different centuries, different kinds of writers, and different media; they will be about loss and love and loyalty and law, parasites and the climate catastrophe. Some of them will be about you. You will develop interpretive skills and will learn how to think about what it means for something to be ""poetic,"" whether it is a mountain range, a crime, a love interest, or a toilet. Can the books we read in this class really change your life? (What would that even mean?) Maybe; maybe not. But they're certainly going to try.",,LIT; WCult:W,
GERM,46.04,"Mobs, Crowds, and the People: Activism in Populist Times",Gomez and Mladek,HUM 03.07,"It is no accident that we find ourselves today in the midst of populist unrest. Our course Mobs, Crowds, and the People: Activism in Populist Times explores the longstanding history of popular unrest and mobilization, fear of the people in literature, philosophy, theology and film from across three continents. Populism is central to current debates about politics and the future of democracy, from radical right organizations in Europe to left-wing parties and presidents in Southern Europe and Latin America to the Occupy Wall Street Movement, Bernie Sanders, Donald Trump and the “Capitol Riot” in the United States. But populism is also one of the most contested concepts in the humanities and political theory. Is populism an ideology or a revolutionary strategy? A style of politics? And, crucially, who are “the people” in populism?",,TMV; WCult:W,
GERM,47.01,Marketplace Germany: Language and Culture of the German Economy (in English),,,"Marketplace Germany examines the economic culture and language of the German speaking world. It includes intercultural case studies on production, trade and consumer culture from Germany, Austria and Switzerland as well as Germany’s relationship with the E.U. and other global trading partners. Through readings, compositions and hands-on projects students learn how German business is conducted in major German industries and they acquire basic business German. No prior knowledge of German required.",,INT or SOC; WCult:W,
GERM,61,The Age of Goethe (1749-1832),,,"Johann Wolfgang von Goethe (1749-1832) was the most notable creative force of the period that bears his name, but his contemporaries included an astonishing number of other great geniuses, including Kant, Mendelssohn, Lessing, Schiller, Kleist, Tieck, and Hoffmann. Conducted in German. Satisfies the culminating-experience requirement for seniors who are German majors and minors.",,LIT; WCult:W,
GERM,64.01,"Lit of the Modern Period: Franz Kafka and the Modern Self""","McGillen, M ",,"Kafka’s stories are the epitome of modern tragicomedy. In few other writers do we find despair and hope, guilt and redemption, dream and reality, in such close proximity. Kafka expresses the struggles of the modern self through the labyrinth-like character of his prose, through which we as readers must find a path. The course will read Kafka closely -  with attention to questions of authority, law, and self-fulfillment - and develop strategies of literary criticism and interpretation.",,LIT; WCult:W,
GERM,64.02,Pulp Fiction Meets High Literature: Media and Writing in 19th-Century Germany,"McGillen, P",,"To be a writer in 19th-century Germany meant to interact with a thriving media market: For the first time, writers wrote for a mass readership and published in illustrated magazines, where their writings appeared together with news items, pulp fiction, other kinds of entertainment, and images. Reading works by Heine, Fontane, Droste, and others, we will explore the complex aesthetic strategies with which they responded to this media challenge. The course will refine key research methods in German Studies. Conducted in German. Open to all classes. Can be taken as a Culminating Experience by doing additional work.",,,
GERM,64.03,Weimar Republic Culture,,,"This class provides an introduction into Weimar Republic Culture and its rich political and aesthetic legacy.  Writers, artists, filmmakers, scientists, philosophers, and political activists collaborated widely and produced new perspectives and forms for understanding the self and its relationship to language, to others and to the world.  We will discuss among others artistic movements such as expressionism, Dada and New Objectivity, modernist genres such as the collage or the stream-of-consciousness novel, groundbreaking authors such as Thomas Mann and Bertolt Brecht, the rich German-Jewish cultural life before the rise of fascism and the way in which sciences and the arts converged.  The class will be conducted in German.        ",,LIT; WCult:CI,
GERM,64.04,Theater and the Revolution,,,"The modern theater is born from the spirit of unrest and revolution. This course is an introduction to the concept of the revolution and its relation to some of the most ground-breaking plays of modern drama. Particular emphasis will be given to the intersection between theater and history, art and politics, stage and the passion for justice. But along the way, we will cross the question of love, betrayal, disgust, rage, melancholia and death. We will read plays by Georg Büchner, Bertolt Brecht and Peter Weiss, and by contemporary playwrights Heiner Müller and Elfriede Jelinek (class in German).",,,
GERM,65.02,German Humor--Not an Oxymoron!,,,"German Humor--Not an Oxymoron! This seminar analyzes texts, artwork, films, and songs ranging from the early 20th-Century literary tradition to contemporary visual humor. The topics for discussion will include political satire on war, nationalism, and reunification, Hitler comedies, immigrant comedies, humor on gender, and satires on what it means to be German. This seminar also provides an introduction to German Studies research methods. Conducted in German. German majors may take this course as their Culminating Experience by doing additional work.",,LIT; WCult:W,
GERM,65.05,Deutsche Kurzprosa: Kunstmaerchen gegen Novelle,,,"Kunstmärchen are literary fairy-tales more refined than popular Volksmärchen. Novellen are narratives more akin to drama than to the novel or short story. This seminar treats outstanding examples of both genres, showing how they work as well as how they compete and conflict with each other.",,LIT; WCult:W,
GERM,65.06,Modes of Belonging: What is Heimat,Komska,,"In the 21st century, Germany is de facto an ""immigration country."" That means that non-Germans have a chance of becoming German. But it hasn’t always been this way. The German understanding of belonging has a long and complicated history that spans several centuries. In our readings and viewings, which will range from Nazi films to memoirs of GDR-born writers, we will trace this history’s twentieth-century course. Our discussions will tackle the themes that cross boundaries: home, nostalgia, assimilation, cosmopolitanism, and patriotism. Senior majors will participate in a weekly culminating experience workshop focused on more intensive interpretation and analysis of works. Taught in German.",,LIT; WCult:W,
GERM,65.07,Babylon Berlin,,,"This interdisciplinary class investigates representations of the city of Berlin from the 19th to the 21st Century.  We will draw from literature, autobiography, philosophy, film, and architecture to discuss Berlin's shifting political geographies.  The class will be conducted in German. This course also counts as the culminating experience for seniors majoring in German, who will meet as a group five times over the term during the x-hour.",,INT or LIT; WCult:CI,
GERM,65.08,The Case Study: From Detective Fiction to Medical Narratives,,,"This course surveys some of the most famous case studies in German cultural history. We will read a range of cases, from psychological case studies to detective fiction, with an eye to specifying the literary and scientific qualities of the genre. What kind of knowledge do case studies transmit and how do they transmit it? What stylistic and generic conventions do authors of case studies draw upon? Conducted in German. German majors may take this course as their Culminating Experience by doing additional work.",,LIT,
GERM,65.09,(Research Seminar) Taboo Relationships: Deviant Desires in German Literature and Film,Ostrau,,"This course will critically examine representations of forbidden sexual desires within human relationships in German literature, film and the visual arts that deviate from present norm(s) set by the dominant culture(s). Discussions are based off of material from the Middle Ages to the Present and center on artistic  fantasies that involve social taboos including adultery, object-love, voyeurism, exhibitionism, prostitution, masturbation, sadomasochism, the art of pornography, same-sex love and age-difference relationships. We will situate each theme in its historical and literary context and investigate in what ways imagining sexual desires beyond the publicly acceptable may be read 1) as a call for non-conformism and rebellion against the repressive politics of the state exacted on the individual subject, 2) as a response against the psycho-medical field’s narrow labeling of sexual desires as degenerate perversions of middle class morals, 3) as cautionary tales that aim to redress such perceived acts of deviance and reestablish the moral order of the majority and 3) as artistic expression of that which is fundamentally human, i.e. the wide range of human sensory perception between the self and the other, which leads to such desires. The fictional material will be supplemented by medical, legal and political texts that seek to classify, regulate and fight for the expression of sexual relationships that are considered “beyond the norm.”",,LIT; WCult:W,
GERM,67,German Drama: Drama Queens: Madness on Stage,,,"This course analyzes how dramatic literature captured significant changes in ideas on emotions, nerves and madness over the centuries. After a brief introduction into dramatic theory, we will read seminal works by German language dramatists from the 18 through the 21 centuries such as Schiller, Büchner, Schniztler, Brecht and Jelinek. The class will conclude wtih a public reading or performance. Conducted in German. Open to all classes.",,LIT; WCult:W,
GERM,82.05,Found in Translation: Humor in German Literature,,,"Humor is a funny thing—especially in German. Many German novels, plays, poems, and other texts show a sense of humor, ranging from amusing entertainment to social satire to documents of quasi-philosophical detachment. This seminar explores several such fictional, poetic, dramatic, and other texts, including some recently written by its instructor. It also links such texts to the practice of translation and thus treats not only literary issues but also lexical, semantic, cultural, and other related topics. Theoretical approaches to translation will likewise be considered. Assignments include analyzing and attempting new translations as well as engaging in (humorous!) creative writing.",,LIT; WCult:W,
GERM,82.06,Translation: Theory and Practice,,COLT 19.01,"Translation is both a basic and highly complicated aspect of our engagement with literature. We often take it for granted; yet the idea of meanings ""lost in translation"" is commonplace. In this course we work intensively on the craft of translation while exploring its practical, cultural and philosophical implications through readings in theoretical and literary texts. All students will complete a variety of translation exercises, and a substantial final project, in their chosen language.",,INT or LIT; WCult:W,
GERM,82.07,On Literary Adaptations - How to become a Transformer,,,"Bad books make good movies? This is the question in today’s Germany more than ever. Transforming bestsellers into films, series, graphic novels and radio plays has become the latest trend. This course deals with this relatively new phenomenon. Not only will we talk about what sets one media apart from the other; the works by Wolfgang Borchert, Günter Grass, Christine Nöstlinger, Marcel Beyer, W.G. Sebald, Timur Vermes and Volker Kutscher all deal with the Third Reich: But can visuals do the same as texts here? And what about the change of the concept of “German guilt” in the past 75 years? Taught in German.",,LIT; WCult:W,
GERM,82.08,Our Home/s – Creative Writing Seminar in the Age of Corona,,,"We are used to being in different places that define different ways of living. Mobility, too, is a part of our existence. During the pandemic, our lives have mostly been reduced to only one place. What does this teach us about loneliness? What is a ""home"" today? And how do we conceive the concepts of longing and belonging? The goal of this course is to write a collective literary dramatic work that might create a new ""public space"". Our creative work will be framed by readings of Greek and contemporary plays. The course will also include an introduction to the basic elements of dramatic writing. Taught in German.",,ART; WCult:W,
GERM,82.09,The Hill We Climb – Down: Poetry and Short Fiction Nature Writing,,,"As every experienced mountaineer is happy not to tell you: getting down will be the hard part. Tough on your knees, exhausting, dangerous. I grew up in a village close to the Alps, which provided me with multiple occasions to learn to hate them (alternatively: read them, see them, wonder) which seems a fair starting point for our adventurous climbs through the hilly landscape of German fiction and poetry. We will be dealing with trips to mountains and the insights, visions and pitfalls they provide us with. Our guiding questions will be: is there any such thing as “nature writing” in German? If yes: how and why does it differ from the Anglo-American tradition? How is it possible to translate any-“thing” critterly (picking up a term used by Donna Haraway) into language? And which kind of language would we like to use – rather: need to invent – in order to do so?",,LIT; WCult:W,
GERM,85,Independent Study,,,All terms:  Arrange,,,
GERM,87,Honors Thesis I,,,See German Honors Program,,,
GERM,88,Honors Thesis II,,,See German Honors Program,,,
,,Introductory Courses,,,,,,
,,Political Analysis,,,,,,
,,Upper-Level Courses that Cross-Subfields,,,,,,
,,American Government,,,,,,
,,Comparative Politics,,,,,,
,,International Relations,,,,,,
,,Political Theory and Public Law,,,,,,
,,Advanced Courses,,,,,,
HIST,1,Turning Points in American History,Bonner. Butler,,"Students in this course will analyze and evaluate a very select number of ""pivotal moments"" over the past four centuries of American history. As an introduction to historical thinking and argumentation, the course will combine close scrutiny of documents from the past with an awareness of interpretive issues of contingency, determinism, and historical agency raised by leading contemporary historians.",,SOC; WCult:W,
HIST,2,#EverythingHasAHistory: Understanding America Today,,,"This introductory course will explore the historical roots of current events in the United States.  This course demonstrates how history is woven into the fabric of our everyday lives and why understanding history is important for understanding the present and navigating the future.  We will focus on case studies—such as immigration and borders, computers and society, and race and whiteness—and expect the syllabus to evolve in real time depending on what is in the news during the quarter.  This class serves as an introductory course for History majors, but is open to all students.",,SOC; WCult:W,
HIST,3.01,Europe in the Age of Wonder,Gaposchkin and Simons,,"This course examines Europe from the fall of the Roman Empire in the 5th century through religious warfare in the 17th century, when society, economics, politics, and culture were guided by a sense of wonder, which held people in awe of their rulers and the divine. Wonder did not imply passivity: from the disintegration of the Roman Empire to the emergence of early nation states, through crusades, the expansion of trade, religious reformation, and advances in scientific thinking. Europeans drew on their experiences to develop new concepts of representative government, individual liberty, and religious meaning.",,SOC; WCult:W,
HIST,3.02,Europe in the Age of Discovery,,,"This course introduces students to an age of discovery during which Europeans encountered worlds, real and imagined, far beyond the realm of the familiar. Between the latter half of the 14th century through the late 18th century European society, economics, politics, ideas, and culture were altered in ways that increasingly took on aspects of modernity. From the aftermath of a pandemic crisis through a period punctuated by religious reformations, civil wars, and revolutionary regicides, Europeans steadily adopted more modern attitudes to property, authority, community, work, family, the body, nature, and supernatural forces.",,SOC; WCult:W,
HIST,3.03,Europe in the Age of Violence,"Greenberg, Petruccelli",,"The last two centuries were an era of dramatic transformations and contradictions: while Europeans enjoyed unprecedented prosperity, technological advances, and social mobility, they also unleashed and experienced empire, terror, total war, foreign occupations, and mass murder. Throughout these 100 years, contrasting visions of a new society ushered in a range of different regimes—monarchical empires, liberal republics, murderous and racist dictatorships, Communist autocracies, and a democratic welfare states—yet these visions also led to the emancipation of women, the development of a new consumer society, the creation of environmentalist movements and new counter-cultures, and the transformation of everyday lives.",,SOC; WCult:W,
HIST,4.01,The Crusades,"Briggs, Gaposchkin",,"The crusades, launched by European Christians who sought to secure military control over the Holy Land, led to a period of sustained and largely inimical contact between Christian and Muslim cultures. Covering the period from 1095-ca.1350, this course explores the cultural, religious, and ideological contexts of crusade history which shaped notions of religious violence, holy war, and ethnic cleansing, along with a long history of distrust between the peoples of Christian Europe (or the Christian West) and the Islamic Middle East.",,DIST:INT or SOC; WCult: CI,
HIST,4.02,Introduction to the History of the Islamic Middle East,,,"This course is a survey of the histories and cultures of the Islamic Middle East, starting in the era before the advent of Islam in the 7th century until the eve of the 20th century. This class will begin with the regional and global contexts in which Islam emerged, examining the history of the Prophet Muhammad, the Qur’anic revelation, and the first community of believers. We will then look at the expansion of the “abode of Islam” over the course of several centuries, asking why so many people in so many different regions converted to Islam. We will also study philosophical, cultural, legal, political, and social trends in region now known as the Middle East and North Africa until the era of early European colonialism.",,INT or SOC; WCult:NW,
HIST,4.03,Introduction to the Modern Middle East and North Africa,"Simon, Nikpour",MES 02.03,"The diverse nations and peoples that make up the Middle East and North Africa are of major significance in our contemporary world, at the same time that they are often misunderstood or given only superficial (albeit spectacular) popular attention. This lecture course is designed to give students a nuanced introductory overview of the modern histories of this region. Students will read a variety of primary and secondary materials designed to familiarize them with the historical, cultural, and social processes that have affected and transformed the region in question, and will learn to put these regional histories in a global framework. The course begins with a brief summary of the early modern Islamicate “Gunpowder” Empires—Mughal, Safavid/Qajar, Ottoman—and then moves through several topics of significance: the era of European colonialism; the establishment of the nation state; competing discourses of nationalism; the emergence of Third Worldist and anti-colonial movements; the Israeli- Palestinian conflict; debates over the politics of gender; the effects of the Cold War; the processes of decolonization and the establishment of post-colonial states; the rise of revolutionary Islamism; oil politics and policies; globalization and neoliberalism; 9/11, terrorism, and wars in Iraq and Afghanistan; the Arab uprisings of 2010-2011; and the region’s uncertain present and future.",,SOC; WCult:NW,
HIST,5.01,Pre-Colonial African History,Sackeyfio-Lenoch,AAAS 14,"This course will examine the social and economic history of Africa to 1800. Several interrelated themes of social organization, the expansion of trade, rise of new social classes, the emergence and disintegration of various states and European intervention will be discussed. Through our readings, we will visit every major historical region of Africa (north, east, central, west and south) at least once during the semester to illuminate the various themes.",,SOC; WCult:NW,
HIST,5.03,The History of China since 1800,Cheng,ASCL 64.08,"This survey course traces China's social, political, and cultural development from the relative peace and prosperity of the high Qing period, through the devastating wars and imperialist incursions of the nineteenth century, to the efforts, both vain and fruitful, to build an independent and powerful new nation. Open to all classes.",,SOC; WCult:NW,
HIST,5.04,Introduction to Korean Culture,Suh and Lim,ASCL 10.02,"This course provides an introduction to Korean culture and history, examining Korea's visual and textual expressions from the pre-modern age to the twentieth century. What are the origins of Korean national and cultural identities? How have Korean claims of cultural distinctiveness been manifested and modified over time? Tracing answers to these questions simultaneously helps us to consider how and why Korea has entered America's consciousness. As Korea matters to the US not simply as a fact but as a project, this course avoids portraying Korea through any generalized statements or uncritical categories. Rather, students are encouraged to explore novel perspectives on Korea and thereby unravel their own prejudices and agendas. No prior acquaintance with the Korean language is required.",,SOC; WCult:CI,
HIST,5.05,The Emergence of Modern Japan,"Mills, Ericson",ASCL 64.11,"A survey of Japanese history from the mid-nineteenth century to the present. Topics to be covered include the building of a modern state and the growth of political opposition, industrialization and its social consequences, the rise and fall of the Japanese colonial empire, and the postwar economic 'miracle.'",,SOC; WCult:NW,
